연도별,총계,운전자(소계),음주,무면허,통고처분,무인단속,범법,보행자
2014,277759,272839,6540,1598,68803,188223,7675,4920
2015,334915,317566,7908,2257,85782,209181,12438,17349
2016,348878,337979,6496,2168,81546,230902,16867,10899
2017,482443,479454,5232,1639,71825,372764,27994,2989
2018,332836,332514,5368,1021,18722,282359,25044,322
